Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Subaru,2019,Forester,SUV,2019 Subaru Forester 2.5I-L (awd),USED,Automatic,2.5,AWD,Unleaded,7.4,73004,Green / Grey,"Essendon Fields, VIC",4.0,SUV,4.0,5.0,33868.0
Mazda,2016,6,Sedan,2016 Mazda 6 Touring,USED,Automatic,2.5,Front,Unleaded,6.6,50011,Silver / Black,"Frankston, VIC",4.0,Sedan,4.0,5.0,25990.0
Ford,2018,Everest,SUV,2018 Ford Everest Titanium (4WD),USED,Automatic,3.2,4WD,Diesel,8.5,69860,Grey / Black Leather,"Lilydale, VIC",5.0,SUV,4.0,7.0,57999.0
Toyota,2021,Yaris,USED Dealer ad,2021 Toyota Yaris,USED,Missing,2.0,Other,Missing,8.9,12929,White / -,"Oakleigh, VIC",4.0,Hatchback,,,29747.0
Nissan,2020,X-Trail,SUV,2020 Nissan X-Trail TI (4X4) TAN Leather,USED,Automatic,2.5,4WD,Unleaded,8.3,20161,Black / Black,"Hoppers Crossing, VIC",4.0,SUV,4.0,5.0,41990.0
Volkswagen,2018,Golf,Hatchback,2018 Volkswagen Golf 110 TSI Trendline,USED,Automatic,1.4,Front,Premium,5.4,66039,Blue / Grey,"Moorooka, QLD",4.0,Hatchback,5.0,5.0,23990.0
Toyota,2018,RAV4,SUV,2018 Toyota RAV4 GX (2WD),USED,Automatic,2.0,Front,Unleaded,7.0,82084,Blue / Black,"HEIDELBERG, VIC",4.0,SUV,4.0,5.0,30950.0
Holden,2018,Astra,Sedan,2018 Holden Astra LS Plus,USED,Automatic,1.4,Front,Unleaded,6.1,59863,White / -,"Hoppers Crossing, VIC",4.0,Sedan,4.0,5.0,22888.0
Volkswagen,2018,Tiguan,SUV,2018 Volkswagen Tiguan 162 TSI Highline,USED,Automatic,2.0,AWD,Premium,8.1,92492,White / -,"Capalaba, QLD",4.0,SUV,4.0,5.0,39990.0
Nissan,2021,X-Trail,SUV,2021 Nissan X-Trail ST-L (2WD),USED,Automatic,2.5,Front,Unleaded,7.9,34810,White / Grey,"Hoppers Crossing, VIC",4.0,SUV,4.0,5.0,36990.0
Ford,2017,Everest,SUV,2017 Ford Everest Trend,USED,Automatic,3.2,AWD,Diesel,8.5,92068,Black / Black Leather,"Berwick, VIC",5.0,SUV,4.0,7.0,44499.0
Toyota,2020,C-HR,SUV,2020 Toyota C-HR Koba (2WD),USED,Automatic,1.2,Front,Premium,6.4,45159,Grey / -,"Toowoomba, QLD",4.0,SUV,5.0,5.0,38990.0
Mitsubishi,2019,ASX,SUV,2019 Mitsubishi ASX LS (2WD),USED,Automatic,2.0,Front,Unleaded,7.6,77823,Silver / Black,"Elsternwick, VIC",4.0,SUV,4.0,5.0,25950.0
Volkswagen,2015,Touareg,SUV,2015 Volkswagen Touareg V6 TDI,USED,Automatic,3.0,AWD,Diesel,7.4,118344,Black / Leather,"Kedron, QLD",6.0,SUV,4.0,5.0,33990.0
Jeep,2014,Grand,SUV,2014 Jeep Grand Cherokee SRT 8 (4X4),USED,Automatic,6.4,4WD,Premium,14.0,118687,White / -,"Hallam, VIC",8.0,SUV,4.0,5.0,54898.0
